  K_DADD_RN_DOUBLE_DEP128 latency:  1083994 clocks (33.080872 clk/instruction)

  K_RCP_FLOAT_DEP128 latency:  7290007 clocks (222.473358 clk/instruction)
  K_SQRT_FLOAT_DEP128 latency:  5947033 clocks (181.489044 clk/instruction)
  K_RSQRT_FLOAT_DEP128 latency:  1326327 clocks (40.476288 clk/instruction)
  K_SIN_FLOAT_DEP128 latency:  14694925 clocks (448.453522 clk/instruction)
  K_COS_FLOAT_DEP128 latency:  15443066 clocks (471.284973 clk/instruction)
  K_TAN_FLOAT_DEP128 latency:  18868481 clocks (575.820343 clk/instruction)
  K_EXP_FLOAT_DEP128 latency:  4266453 clocks (130.201813 clk/instruction)
  K_EXP10_FLOAT_DEP128 latency:  4028448 clocks (122.938477 clk/instruction)
  K_LOG_FLOAT_DEP128 latency:  7814247 clocks (238.471893 clk/instruction)
  K_LOG2_FLOAT_DEP128 latency:  8227437 clocks (251.081451 clk/instruction)
  K_LOG10_FLOAT_DEP128 latency:  8220380 clocks (250.866089 clk/instruction)
  K_POW_FLOAT_DEP128 latency:  16230811 clocks (495.325043 clk/instruction)

  K_SINF_FLOAT_DEP128 latency:  594417 clocks (18.140167 clk/instruction)
  K_COSF_FLOAT_DEP128 latency:  594462 clocks (18.141541 clk/instruction)
  K_TANF_FLOAT_DEP128 latency:  1918818 clocks (58.557678 clk/instruction)
  K_EXPF_FLOAT_DEP128 latency:  1915674 clocks (58.461731 clk/instruction)
  K_EXP2F_FLOAT_DEP128 latency:  1623324 clocks (49.539917 clk/instruction)
  K_EXP10F_FLOAT_DEP128 latency:  1916973 clocks (58.501373 clk/instruction)
  K_LOGF_FLOAT_DEP128 latency:  1623015 clocks (49.530487 clk/instruction)
  K_LOG2F_FLOAT_DEP128 latency:  1326482 clocks (40.481018 clk/instruction)
  K_LOG10F_FLOAT_DEP128 latency:  1622787 clocks (49.523529 clk/instruction)
  K_POWF_FLOAT_DEP128 latency:  2035698 clocks (62.124573 clk/instruction)

  K_INTASFLOAT_UINT_DEP128 latency:  299130 clocks (9.128723 clk/instruction)
  K_FLOATASINT_FLOAT_DEP128 latency:  298972 clocks (9.123901 clk/instruction)

  K_POPC_UINT_DEP128 latency:  298805 clocks (9.118805 clk/instruction)
  K_CLZ_UINT_DEP128 latency:  594446 clocks (18.141052 clk/instruction)

  K_ALL_UINT_DEP128 latency:  1878030 clocks (57.312927 clk/instruction)
  K_ANY_UINT_DEP128 latency:  1877165 clocks (57.286530 clk/instruction)

